
 
,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Squad,Comp,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
42,Köln,de Bundesliga,27,25.0,47.0,34,374,3060,34.0,47,33,80,44,3,3,64,3,1.38,0.97,2.35,1.29,2.26
43,Lazio,it Serie A,30,27.8,50.4,38,418,3420,38.0,39,28,67,35,4,5,78,9,1.03,0.74,1.76,0.92,1.66
44,Le Havre,fr Ligue 1,31,26.6,46.9,34,374,3060,34.0,31,22,53,29,2,6,65,4,0.91,0.65,1.56,0.85,1.50
45,Lecce,it Serie A,30,25.5,41.7,38,418,3420,38.0,28,20,48,27,1,2,69,2,0.74,0.53,1.26,0.71,1.24
46,Leeds United,eng Premier League,24,26.8,45.7,38,418,3420,38.0,48,24,72,42,6,8,64,1,1.26,0.63,1.89,1.11,1.74
47,Lens,fr Ligue 1,30,26.5,51.2,34,374,3060,34.0,65,51,116,61,4,5,66,5,1.91,1.50,3.41,1.79,3.29
48,Levante,es La Liga,30,25.9,42.9,38,418,3420,38.0,47,31,78,45,2,6,85,5,1.24,0.82,2.05,1.18,2.00
49,Leverkusen,de Bundesliga,28,26.3,59.2,34,374,3060,34.0,67,49,116,60,7,8,70,2,1.97,1.44,3.41,1.76,3.21
50,Lille,fr Ligue 1,30,26.5,56.0,34,374,3060,34.0,51,33,84,44,7,8,78,5,1.50,0.97,2.47,1.29,2.26
51,Liverpool,eng Premier League,24,26.6,59.3,38,418,3420,38.0,61,44,105,60,1,2,57,1,1.61,1.16,2.76,1.58,2.74
52,Lorient,fr Ligue 1,26,25.3,45.4,34,374,3060,34.0,47,31,78,44,3,7,55,1,1.38,0.91,2.29,1.29,2.21
53,Lyon,fr Ligue 1,32,26.2,54.6,34,374,3060,34.0,52,41,93,49,3,5,61,7,1.53,1.21,2.74,1.44,2.65
54,Mainz 05,de Bundesliga,30,28.6,44.0,34,374,3060,34.0,44,26,70,36,8,9,70,5,1.29,0.76,2.06,1.06,1.82
55,Mallorca,es La Liga,30,27.8,47.0,38,418,3420,38.0,47,32,79,42,5,7,83,5,1.24,0.84,2.08,1.11,1.95
56,Manchester City,eng Premier League,27,25.4,60.7,38,418,3420,38.0,74,57,131,71,3,4,67,0,1.95,1.50,3.45,1.87,3.37
57,Manchester Utd,eng Premier League,27,26.1,51.9,38,418,3420,38.0,66,46,112,62,4,6,64,3,1.74,1.21,2.95,1.63,2.84
58,Marseille,fr Ligue 1,38,27.5,57.1,34,374,3060,34.0,62,47,109,56,6,8,80,4,1.82,1.38,3.21,1.65,3.03
59,Metz,fr Ligue 1,33,26.2,48.9,34,374,3060,34.0,31,20,51,26,5,6,55,4,0.91,0.59,1.50,0.76,1.35
60,Milan,it Serie A,26,27.2,51.8,38,418,3420,38.0,53,37,90,46,7,9,64,3,1.39,0.97,2.37,1.21,2.18
61,Monaco,fr Ligue 1,32,25.6,53.8,34,374,3060,34.0,57,42,99,51,6,7,75,6,1.68,1.24,2.91,1.50,2.74
62,Nantes,fr Ligue 1,33,26.1,42.1,33,363,2970,33.0,28,18,46,26,2,4,67,2,0.85,0.55,1.39,0.79,1.33
63,Napoli,it Serie A,29,28.4,59.0,38,418,3420,38.0,57,39,96,53,4,5,49,2,1.50,1.03,2.53,1.39,2.42
64,Newcastle,eng Premier League,26,26.7,52.5,38,418,3420,38.0,53,33,86,47,6,6,67,3,1.39,0.87,2.26,1.24,2.11
65,Nice,fr Ligue 1,36,25.6,46.3,34,374,3060,34.0,35,25,60,32,3,3,69,3,1.03,0.74,1.76,0.94,1.68
66,Nottingham,eng Premier League,31,25.9,46.8,38,418,3420,38.0,47,34,81,44,3,3,60,1,1.24,0.89,2.13,1.16,2.05
67,Osasuna,es La Liga,24,28.2,46.8,38,418,3420,38.0,42,30,72,36,6,8,91,7,1.11,0.79,1.89,0.95,1.74
68,Oviedo,es La Liga,31,28.0,46.1,38,418,3420,38.0,26,18,44,24,2,3,81,10,0.68,0.47,1.16,0.63,1.11
69,Paris FC,fr Ligue 1,31,27.3,50.4,34,374,3060,34.0,46,28,74,41,5,6,72,5,1.35,0.82,2.18,1.21,2.03
70,Parma,it Serie A,32,24.1,44.2,38,418,3420,38.0,26,17,43,24,2,2,65,5,0.68,0.45,1.13,0.63,1.08
71,Pisa,it Serie A,35,27.0,40.2,38,418,3420,38.0,25,13,38,19,6,7,78,5,0.66,0.34,1.00,0.50,0.84
72,PSG,fr Ligue 1,28,23.6,68.8,34,374,3060,34.0,73,55,128,68,5,8,37,2,2.15,1.62,3.76,2.00,3.62
73,Rayo Vallecano,es La Liga,28,28.9,53.5,38,418,3420,38.0,41,29,70,38,3,5,103,9,1.08,0.76,1.84,1.00,1.76
74,RB Leipzig,de Bundesliga,29,25.0,54.0,34,374,3060,34.0,64,48,112,63,1,3,52,0,1.88,1.41,3.29,1.85,3.26
75,Real Betis,es La Liga,29,27.8,50.3,38,418,3420,38.0,58,39,97,55,3,3,72,2,1.53,1.03,2.55,1.45,2.47
76,Real Madrid,es La Liga,35,25.3,59.5,38,418,3420,38.0,77,56,133,65,12,14,70,7,2.03,1.47,3.50,1.71,3.18
77,Real Sociedad,es La Liga,36,25.8,51.3,38,418,3420,38.0,57,38,95,49,8,9,88,4,1.50,1.00,2.50,1.29,2.29
78,Rennes,fr Ligue 1,33,26.1,53.5,34,374,3060,34.0,56,41,97,51,5,6,58,4,1.65,1.21,2.85,1.50,2.71
79,Roma,it Serie A,29,26.3,56.3,38,418,3420,38.0,59,41,100,54,5,7,68,3,1.55,1.08,2.63,1.42,2.50
80,Sassuolo,it Serie A,34,26.1,46.2,38,418,3420,38.0,45,35,80,43,2,4,83,4,1.18,0.92,2.11,1.13,2.05
81,Sevilla,es La Liga,33,27.0,51.0,38,418,3420,38.0,44,33,77,39,5,6,108,5,1.16,0.87,2.03,1.03,1.89
82,St Pauli,de Bundesliga,24,27.5,44.4,34,374,3060,34.0,29,21,50,25,4,5,54,2,0.85,0.62,1.47,0.74,1.35
83,Strasbourg,fr Ligue 1,35,21.5,53.8,34,374,3060,34.0,57,42,99,51,6,7,60,5,1.68,1.24,2.91,1.50,2.74
84,Stuttgart,de Bundesliga,26,25.5,57.7,34,374,3060,34.0,70,56,126,65,5,7,63,2,2.06,1.65,3.71,1.91,3.56
85,Sunderland,eng Premier League,29,25.3,44.9,38,418,3420,38.0,38,25,63,34,4,5,82,3,1.00,0.66,1.66,0.89,1.55
86,Torino,it Serie A,30,27.2,44.1,38,418,3420,38.0,42,25,67,37,5,7,71,1,1.11,0.66,1.76,0.97,1.63
87,Tottenham,eng Premier League,31,25.3,50.4,38,418,3420,38.0,47,36,83,47,0,0,101,4,1.24,0.95,2.18,1.24,2.18
88,Toulouse,fr Ligue 1,26,24.1,42.3,33,363,2970,33.0,46,32,78,42,4,7,78,5,1.39,0.97,2.36,1.27,2.24
89,Udinese,it Serie A,30,26.5,45.6,38,418,3420,38.0,44,30,74,39,5,5,71,2,1.16,0.79,1.95,1.03,1.82
90,Union Berlin,de Bundesliga,26,27.2,40.2,34,374,3060,34.0,44,29,73,41,3,5,71,3,1.29,0.85,2.15,1.21,2.06
91,Valencia,es La Liga,27,27.1,47.7,38,418,3420,38.0,46,32,78,41,5,9,70,3,1.21,0.84,2.05,1.08,1.92
92,Villarreal,es La Liga,33,26.1,44.5,38,418,3420,38.0,71,47,118,64,7,7,78,3,1.87,1.24,3.11,1.68,2.92
93,Werder Bremen,de Bundesliga,28,25.1,51.2,34,374,3060,34.0,36,28,64,33,3,4,77,5,1.06,0.82,1.88,0.97,1.79
94,West Ham,eng Premier League,32,26.3,42.6,38,418,3420,38.0,44,31,75,41,3,3,69,3,1.16,0.82,1.97,1.08,1.89
95,Wolfsburg,de Bundesliga,30,25.4,45.3,34,374,3060,34.0,44,35,79,40,4,5,68,3,1.29,1.03,2.32,1.18,2.21
96,Wolves,eng Premier League,31,25.8,42.8,38,418,3420,38.0,26,18,44,23,3,5,80,3,0.68,0.47,1.16,0.61,1.08
