
 
,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,
Rk,Squad,Comp,# Pl,Poss,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,Rec
67,Osasuna,es La Liga,24,46.8,38.0,,,,,,,,,,,,,,,,,,,,
68,Oviedo,es La Liga,31,46.1,38.0,,,,,,,,,,,,,,,,,,,,
69,Paris FC,fr Ligue 1,31,50.4,34.0,,,,,,,,,,,,,,,,,,,,
70,Parma,it Serie A,32,44.2,38.0,,,,,,,,,,,,,,,,,,,,
71,Pisa,it Serie A,35,40.2,38.0,,,,,,,,,,,,,,,,,,,,
72,PSG,fr Ligue 1,28,68.8,34.0,,,,,,,,,,,,,,,,,,,,
73,Rayo Vallecano,es La Liga,28,53.5,38.0,,,,,,,,,,,,,,,,,,,,
74,RB Leipzig,de Bundesliga,29,54.0,34.0,,,,,,,,,,,,,,,,,,,,
75,Real Betis,es La Liga,29,50.3,38.0,,,,,,,,,,,,,,,,,,,,
76,Real Madrid,es La Liga,35,59.5,38.0,,,,,,,,,,,,,,,,,,,,
77,Real Sociedad,es La Liga,36,51.3,38.0,,,,,,,,,,,,,,,,,,,,
78,Rennes,fr Ligue 1,33,53.5,34.0,,,,,,,,,,,,,,,,,,,,
79,Roma,it Serie A,29,56.3,38.0,,,,,,,,,,,,,,,,,,,,
80,Sassuolo,it Serie A,34,46.2,38.0,,,,,,,,,,,,,,,,,,,,
81,Sevilla,es La Liga,33,51.0,38.0,,,,,,,,,,,,,,,,,,,,
82,St Pauli,de Bundesliga,24,44.4,34.0,,,,,,,,,,,,,,,,,,,,
83,Strasbourg,fr Ligue 1,35,53.8,34.0,,,,,,,,,,,,,,,,,,,,
84,Stuttgart,de Bundesliga,26,57.7,34.0,,,,,,,,,,,,,,,,,,,,
85,Sunderland,eng Premier League,29,44.9,38.0,,,,,,,,,,,,,,,,,,,,
86,Torino,it Serie A,30,44.1,38.0,,,,,,,,,,,,,,,,,,,,
87,Tottenham,eng Premier League,31,50.4,38.0,,,,,,,,,,,,,,,,,,,,
88,Toulouse,fr Ligue 1,26,42.3,33.0,,,,,,,,,,,,,,,,,,,,
89,Udinese,it Serie A,30,45.6,38.0,,,,,,,,,,,,,,,,,,,,
90,Union Berlin,de Bundesliga,26,40.2,34.0,,,,,,,,,,,,,,,,,,,,
91,Valencia,es La Liga,27,47.7,38.0,,,,,,,,,,,,,,,,,,,,
92,Villarreal,es La Liga,33,44.5,38.0,,,,,,,,,,,,,,,,,,,,
93,Werder Bremen,de Bundesliga,28,51.2,34.0,,,,,,,,,,,,,,,,,,,,
94,West Ham,eng Premier League,32,42.6,38.0,,,,,,,,,,,,,,,,,,,,
95,Wolfsburg,de Bundesliga,30,45.3,34.0,,,,,,,,,,,,,,,,,,,,
96,Wolves,eng Premier League,31,42.8,38.0,,,,,,,,,,,,,,,,,,,,
About FBref.com
